Level,Category,Item,Weight,Normalized_Weight
dimension,all,Technical_Efficiency,17.3,0.173
dimension,all,Data_Quality,26.7,0.267
dimension,all,CI_CD,13.7,0.137
dimension,all,User_Experience,10.7,0.107
dimension,all,Business_Impact,31.7,0.317
metric,Technical_Efficiency,Pipeline_Speed,3.0,0.1875
metric,Technical_Efficiency,Stability,5.0,0.3125
metric,Technical_Efficiency,Scalability,3.67,0.2294
metric,Technical_Efficiency,Observability,4.33,0.2706
metric,Data_Quality,Data_Lineage,4.0,0.2353
metric,Data_Quality,Quality_Tests,5.0,0.2941
metric,Data_Quality,RBAC,3.67,0.2157
metric,Data_Quality,Metadata_Management,4.33,0.2549
metric,CI_CD,Git_Integration,4.33,0.2549
metric,CI_CD,API_CLI,4.67,0.2745
metric,CI_CD,Automated_Tests,3.67,0.2157
metric,CI_CD,Reproducibility,4.33,0.2549
metric,User_Experience,Onboarding,4.67,0.2745
metric,User_Experience,Documentation,5.0,0.2941
metric,User_Experience,Debugging,4.33,0.2549
metric,User_Experience,Collaboration,3.0,0.1765
metric,Business_Impact,Time_to_Value,4.67,0.2745
metric,Business_Impact,TCO,4.33,0.2549
metric,Business_Impact,Vendor_Lock_in,3.67,0.2157
metric,Business_Impact,Auditability,4.33,0.2549

